2024-10-22 04:03:11	[34mINFO[0m	setup/initialize.go:73	failed to find IPv6 service CIDR, will use IPv4 service CIDR. Error details: couldn't find host cluster Service CIDR ("Service "test-service-4z7w8" is invalid: spec.clusterIPs[0]: Invalid value: []string{"2001:DB8::1"}: IPv6 is not configured on this cluster")	{"component": "vcluster"}
2024-10-22 04:03:11	[34mINFO[0m	setup/controller_context.go:204	couldn't retrieve virtual cluster version (Get "https://127.0.0.1:6443/version": dial tcp 127.0.0.1:6443: connect: connection refused), will retry in 1 seconds	{"component": "vcluster"}
2024-10-22 04:03:11	[34mINFO[0m	k8s/k8s.go:298	error while targeting the api on localhost, this is expected during the vCluster creation, will retry after 2 seconds:Get "https://127.0.0.1:6443/readyz": dial tcp 127.0.0.1:6443: connect: connection refused	{"component": "vcluster"}
2024-10-22 04:03:11	[35mDEBUG[0m	etcd-client	v3/retry_interceptor.go:54	retrying of unary invoker	{"component": "vcluster", "target": "etcd-endpoints://0x4000678000/vcluster-etcd:2379", "attempt": 0}
2024-10-22 04:03:11	[34mINFO[0m	k8s/k8s.go:243	Starting apiserver	{"component": "vcluster", "args": "/binaries/kube-apiserver --advertise-address=127.0.0.1 --service-cluster-ip-range=10.96.0.0/12 --bind-address=127.0.0.1 --allow-privileged=true --authorization-mode=RBAC --client-ca-file=/data/pki/ca.crt --enable-bootstrap-token-auth=true --etcd-servers=https://vcluster-etcd:2379 --etcd-cafile=/data/pki/etcd/ca.crt --etcd-certfile=/data/pki/apiserver-etcd-client.crt --etcd-keyfile=/data/pki/apiserver-etcd-client.key --proxy-client-cert-file=/data/pki/front-proxy-client.crt --proxy-client-key-file=/data/pki/front-proxy-client.key --requestheader-allowed-names=front-proxy-client --requestheader-client-ca-file=/data/pki/front-proxy-ca.crt --requestheader-extra-headers-prefix=X-Remote-Extra- --requestheader-group-headers=X-Remote-Group --requestheader-username-headers=X-Remote-User --secure-port=6443 --service-account-issuer=https://kubernetes.default.svc.cluster.local --service-account-key-file=/data/pki/sa.pub --service-account-signing-key-file=/data/pki/sa.key --tls-cert-file=/data/pki/apiserver.crt --tls-private-key-file=/data/pki/apiserver.key --watch-cache=false --endpoint-reconciler-type=none --service-account-jwks-uri=https://kubernetes.default.svc.cluster.local/openid/v1/jwks"}
2024-10-22 04:03:11	[34mINFO[0m	commandwriter/commandwriter.go:128	external host was not specified, using 127.0.0.1	{"component": "vcluster", "component": "apiserver", "location": "options.go:228"}
2024-10-22 04:03:11	[34mINFO[0m	commandwriter/commandwriter.go:128	Version: v1.31.1	{"component": "vcluster", "component": "apiserver", "location": "server.go:142"}
2024-10-22 04:03:11	[34mINFO[0m	commandwriter/commandwriter.go:128	Golang settings	{"component": "vcluster", "component": "apiserver", "location": "server.go:144", "GOGC": "", "GOMAXPROCS": "", "GOTRACEBACK": ""}
2024-10-22 04:03:11	[34mINFO[0m	commandwriter/commandwriter.go:128	Waiting for caches to sync for *generic.policySource[*k8s.io/api/admissionregistration/v1.ValidatingAdmissionPolicy,*k8s.io/api/admissionregistration/v1.ValidatingAdmissionPolicyBinding,k8s.io/apiserver/pkg/admission/plugin/policy/validating.Validator]	{"component": "vcluster", "component": "apiserver", "location": "shared_informer.go:313"}
2024-10-22 04:03:11	[34mINFO[0m	commandwriter/commandwriter.go:128	Loaded 11 mutating admission controller(s) successfully in the following order: NamespaceLifecycle,LimitRanger,ServiceAccount,TaintNodesByCondition,Priority,DefaultTolerationSeconds,DefaultStorageClass,StorageObjectInUseProtection,RuntimeClass,DefaultIngressClass,MutatingAdmissionWebhook.	{"component": "vcluster", "component": "apiserver", "location": "plugins.go:157"}
2024-10-22 04:03:11	[34mINFO[0m	commandwriter/commandwriter.go:128	Loaded 13 validating admission controller(s) successfully in the following order: LimitRanger,ServiceAccount,PodSecurity,Priority,PersistentVolumeClaimResize,RuntimeClass,CertificateApproval,CertificateSigning,ClusterTrustBundleAttest,CertificateSubjectRestriction,ValidatingAdmissionPolicy,ValidatingAdmissionWebhook,ResourceQuota.	{"component": "vcluster", "component": "apiserver", "location": "plugins.go:160"}
